role_idx,target_role,education_level_val,branch_match_val,cgpa_norm,experience_years,experience_ratio,core_skill_coverage,secondary_skill_coverage,bonus_skill_count,certification_count,eligibility_score,tier_idx,tier_label
4.0,web-developer,0.65,1.0,6.55,0.5,0.5,0.063,0.187,1.0,0.0,44.2,0,Foundational / Action Required
1.0,data-analyst,0.92,1.0,8.36,0.5,0.5,0.8,0.55,2.0,2.0,89.2,3,Highly Eligible
5.0,software-developer,0.85,0.75,7.66,0.0,0.0,0.562,0.1,2.0,0.0,63.9,1,Partially Eligible
5.0,software-developer,0.85,0.35,6.55,0.0,0.0,0.071,0.155,0.0,0.0,36.8,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,6.0,2.0,1.0,0.628,0.32,1.0,0.0,67.0,1,Partially Eligible
4.0,web-developer,1.0,1.0,8.61,3.0,3.0,1.0,0.743,4.0,4.0,99.0,3,Highly Eligible
3.0,data-scientist,0.85,1.0,7.9,2.0,1.0,0.848,0.15,2.0,2.0,88.7,3,Highly Eligible
1.0,data-analyst,0.45,0.35,6.31,0.0,0.0,0.425,0.0,0.0,0.0,42.2,0,Foundational / Action Required
3.0,data-scientist,0.85,1.0,7.91,0.0,0.0,0.48,0.524,2.0,0.0,62.3,1,Partially Eligible
4.0,web-developer,0.65,0.35,7.02,0.0,0.0,0.215,0.259,0.0,0.0,37.5,0,Foundational / Action Required
2.0,machine-learning-engineer,0.92,1.0,9.14,3.0,1.5,0.87,0.906,3.0,4.0,98.9,3,Highly Eligible
0.0,python-developer,0.85,1.0,8.63,0.5,0.25,0.596,0.256,1.0,1.0,73.2,2,Eligible
1.0,data-analyst,1.0,1.0,9.07,3.0,3.0,0.729,0.883,4.0,1.0,88.0,3,Highly Eligible
5.0,software-developer,0.92,1.0,8.74,6.0,3.0,0.996,0.839,6.0,3.0,99.0,3,Highly Eligible
3.0,data-scientist,0.85,0.75,8.56,2.0,1.0,0.421,0.512,1.0,1.0,66.9,1,Partially Eligible
2.0,machine-learning-engineer,0.65,0.65,6.25,0.0,0.0,0.296,0.141,1.0,0.0,43.3,0,Foundational / Action Required
2.0,machine-learning-engineer,0.85,0.35,6.95,0.0,0.0,0.305,0.0,1.0,1.0,49.3,0,Foundational / Action Required
1.0,data-analyst,1.0,1.0,8.64,5.0,3.0,0.903,0.556,6.0,2.0,99.0,3,Highly Eligible
1.0,data-analyst,0.65,0.75,7.86,2.0,2.0,0.476,0.489,2.0,0.0,62.7,1,Partially Eligible
2.0,machine-learning-engineer,0.85,1.0,8.43,2.0,1.0,0.802,0.721,3.0,3.0,93.1,3,Highly Eligible
0.0,python-developer,0.85,1.0,8.3,1.0,0.5,0.628,0.38,3.0,0.0,75.9,2,Eligible
0.0,python-developer,0.65,0.35,5.89,1.0,0.5,0.218,0.0,1.0,0.0,45.0,0,Foundational / Action Required
3.0,data-scientist,0.85,0.75,5.44,0.5,0.25,0.42,0.093,1.0,1.0,57.0,1,Partially Eligible
0.0,python-developer,0.65,0.35,6.41,0.0,0.0,0.349,0.089,1.0,0.0,47.0,0,Foundational / Action Required
2.0,machine-learning-engineer,1.0,1.0,9.76,6.0,3.0,0.945,0.746,4.0,2.0,99.0,3,Highly Eligible
2.0,machine-learning-engineer,1.0,1.0,9.36,5.0,2.5,0.83,0.701,5.0,3.0,99.0,3,Highly Eligible
4.0,web-developer,0.85,1.0,9.54,5.0,3.0,1.0,0.497,2.0,3.0,99.0,3,Highly Eligible
2.0,machine-learning-engineer,0.85,0.75,8.45,1.5,0.75,0.4,0.559,2.0,1.0,64.0,1,Partially Eligible
0.0,python-developer,0.85,1.0,7.28,3.0,1.5,0.793,0.649,3.0,3.0,93.5,3,Highly Eligible
5.0,software-developer,0.85,0.75,8.26,0.0,0.0,0.409,0.462,2.0,1.0,59.3,1,Partially Eligible
3.0,data-scientist,0.45,0.35,6.08,0.0,0.0,0.105,0.0,0.0,0.0,31.0,0,Foundational / Action Required
4.0,web-developer,0.65,1.0,7.04,2.0,2.0,0.632,0.553,3.0,0.0,70.9,2,Eligible
0.0,python-developer,0.85,1.0,6.94,0.0,0.0,0.755,0.478,3.0,1.0,75.1,2,Eligible
3.0,data-scientist,0.85,0.75,6.31,1.0,0.5,0.631,0.366,2.0,0.0,67.4,1,Partially Eligible
0.0,python-developer,0.85,1.0,9.18,0.5,0.25,0.682,0.219,2.0,1.0,76.7,2,Eligible
4.0,web-developer,0.85,0.75,7.77,4.0,3.0,0.634,0.363,5.0,3.0,89.0,3,Highly Eligible
2.0,machine-learning-engineer,0.85,0.75,7.54,0.0,0.0,0.477,0.226,3.0,0.0,59.4,1,Partially Eligible
5.0,software-developer,0.85,1.0,7.41,2.5,1.25,0.464,0.443,2.0,0.0,68.8,2,Eligible
4.0,web-developer,0.92,1.0,6.26,2.0,2.0,0.682,0.298,2.0,1.0,78.1,2,Eligible
2.0,machine-learning-engineer,0.85,1.0,8.45,0.0,0.0,0.35,0.6,1.0,0.0,51.8,0,Foundational / Action Required
4.0,web-developer,0.45,1.0,7.31,0.0,0.0,0.131,0.211,0.0,0.0,37.8,0,Foundational / Action Required
1.0,data-analyst,0.85,1.0,8.26,1.0,1.0,0.459,0.423,3.0,0.0,73.2,2,Eligible
5.0,software-developer,0.85,0.75,8.54,4.0,2.0,0.749,0.35,4.0,2.0,88.7,3,Highly Eligible
0.0,python-developer,0.85,1.0,7.18,4.0,2.0,0.758,0.413,4.0,2.0,89.4,3,Highly Eligible
0.0,python-developer,0.92,1.0,6.42,1.0,0.5,0.772,0.492,2.0,2.0,86.7,3,Highly Eligible
5.0,software-developer,0.85,1.0,8.8,2.0,1.0,0.697,0.876,4.0,2.0,88.4,3,Highly Eligible
1.0,data-analyst,0.85,1.0,8.14,4.0,3.0,0.683,0.586,4.0,3.0,88.8,3,Highly Eligible
2.0,machine-learning-engineer,0.85,1.0,6.98,1.0,0.5,0.413,0.431,2.0,1.0,66.6,1,Partially Eligible
0.0,python-developer,0.92,1.0,9.09,5.0,2.5,1.0,0.813,5.0,4.0,99.0,3,Highly Eligible
1.0,data-analyst,0.85,1.0,7.5,4.0,3.0,1.0,0.502,5.0,3.0,99.0,3,Highly Eligible
0.0,python-developer,0.85,0.75,8.0,0.0,0.0,0.263,0.084,1.0,0.0,48.0,0,Foundational / Action Required
3.0,data-scientist,0.85,1.0,7.84,0.0,0.0,0.644,0.3,1.0,1.0,74.9,2,Eligible
2.0,machine-learning-engineer,0.45,0.65,7.14,0.0,0.0,0.181,0.285,0.0,0.0,38.1,0,Foundational / Action Required
3.0,data-scientist,0.85,0.35,5.86,1.0,0.5,0.18,0.3,0.0,0.0,45.1,0,Foundational / Action Required
5.0,software-developer,0.92,0.75,9.5,0.0,0.0,0.384,0.312,2.0,1.0,65.4,1,Partially Eligible
2.0,machine-learning-engineer,0.85,0.75,8.2,1.0,0.5,0.512,0.139,2.0,1.0,65.4,1,Partially Eligible
1.0,data-analyst,0.45,0.75,6.43,0.0,0.0,0.204,0.172,0.0,0.0,32.7,0,Foundational / Action Required
2.0,machine-learning-engineer,0.85,1.0,8.09,2.0,1.0,0.772,0.757,4.0,2.0,91.0,3,Highly Eligible
2.0,machine-learning-engineer,0.85,0.75,6.26,2.0,1.0,0.85,0.306,2.0,1.0,85.4,3,Highly Eligible
1.0,data-analyst,0.85,1.0,8.6,1.5,1.5,0.4,0.438,3.0,0.0,67.9,1,Partially Eligible
5.0,software-developer,0.85,1.0,8.1,2.0,1.0,0.962,0.696,4.0,2.0,93.7,3,Highly Eligible
2.0,machine-learning-engineer,0.85,1.0,5.47,0.0,0.0,0.212,0.12,0.0,0.0,43.0,0,Foundational / Action Required
5.0,software-developer,0.85,0.75,8.9,2.0,1.0,0.836,0.15,2.0,0.0,78.6,2,Eligible
5.0,software-developer,0.85,0.35,5.35,0.0,0.0,0.27,0.008,1.0,0.0,43.3,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,7.68,1.0,0.5,0.627,0.296,2.0,1.0,74.6,2,Eligible
0.0,python-developer,0.92,0.75,8.13,0.0,0.0,0.5,0.256,1.0,2.0,71.2,2,Eligible
4.0,web-developer,0.92,1.0,7.24,2.0,2.0,0.937,0.639,2.0,2.0,97.0,3,Highly Eligible
5.0,software-developer,0.92,1.0,9.07,4.0,2.0,0.927,0.639,3.0,4.0,98.2,3,Highly Eligible
1.0,data-analyst,0.92,1.0,9.21,3.0,3.0,0.937,0.898,3.0,3.0,99.0,3,Highly Eligible
4.0,web-developer,0.92,1.0,7.97,0.5,0.5,0.652,0.28,3.0,0.0,77.8,2,Eligible
5.0,software-developer,0.85,0.65,7.78,1.5,0.75,0.528,0.353,2.0,1.0,69.5,2,Eligible
1.0,data-analyst,0.85,1.0,8.46,2.0,2.0,0.907,0.757,4.0,4.0,99.0,3,Highly Eligible
1.0,data-analyst,0.92,1.0,9.5,0.5,0.5,0.496,0.1,2.0,0.0,64.6,1,Partially Eligible
3.0,data-scientist,0.65,0.35,5.7,0.0,0.0,0.108,0.0,1.0,0.0,33.2,0,Foundational / Action Required
3.0,data-scientist,1.0,1.0,8.92,6.0,3.0,0.854,0.794,5.0,2.0,99.0,3,Highly Eligible
2.0,machine-learning-engineer,0.92,1.0,9.08,5.0,2.5,0.959,0.612,3.0,2.0,99.0,3,Highly Eligible
5.0,software-developer,0.85,0.35,7.64,0.0,0.0,0.132,0.134,0.0,0.0,40.7,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,7.11,2.0,1.0,0.542,0.498,2.0,0.0,72.8,2,Eligible
4.0,web-developer,0.85,0.75,7.98,0.0,0.0,0.8,0.454,1.0,2.0,75.2,2,Eligible
1.0,data-analyst,0.85,1.0,7.21,2.0,2.0,0.757,0.15,3.0,2.0,89.0,3,Highly Eligible
5.0,software-developer,0.92,1.0,8.26,2.0,1.0,0.676,0.582,3.0,0.0,83.7,3,Highly Eligible
2.0,machine-learning-engineer,0.92,0.75,8.2,3.0,1.5,0.818,0.547,4.0,3.0,96.0,3,Highly Eligible
0.0,python-developer,0.65,0.75,7.75,2.0,1.0,0.607,0.536,2.0,2.0,69.6,2,Eligible
1.0,data-analyst,0.85,0.65,6.42,0.0,0.0,0.233,0.118,0.0,0.0,45.8,0,Foundational / Action Required
0.0,python-developer,0.85,1.0,9.02,2.0,1.0,0.617,0.705,2.0,1.0,76.9,2,Eligible
2.0,machine-learning-engineer,0.85,1.0,7.61,0.0,0.0,0.8,0.166,2.0,1.0,78.2,2,Eligible
3.0,data-scientist,0.85,1.0,7.1,1.0,0.5,0.681,0.317,3.0,1.0,74.7,2,Eligible
2.0,machine-learning-engineer,0.85,0.75,7.56,2.0,1.0,0.637,0.272,1.0,1.0,71.8,2,Eligible
0.0,python-developer,0.92,1.0,8.24,0.5,0.25,0.619,0.419,2.0,0.0,72.9,2,Eligible
1.0,data-analyst,0.85,0.65,6.43,0.0,0.0,0.373,0.137,0.0,0.0,48.8,0,Foundational / Action Required
4.0,web-developer,0.65,1.0,8.27,1.5,1.5,0.502,0.35,1.0,1.0,68.0,2,Eligible
5.0,software-developer,0.85,0.75,8.23,2.0,1.0,0.664,0.396,1.0,0.0,70.9,2,Eligible
2.0,machine-learning-engineer,0.92,1.0,10.0,5.0,2.5,0.918,0.773,4.0,3.0,99.0,3,Highly Eligible
1.0,data-analyst,0.65,0.35,6.36,0.0,0.0,0.112,0.28,1.0,0.0,38.6,0,Foundational / Action Required
5.0,software-developer,0.45,0.65,7.95,0.5,0.25,0.243,0.19,0.0,0.0,41.8,0,Foundational / Action Required
3.0,data-scientist,0.85,0.65,6.34,0.0,0.0,0.358,0.274,0.0,0.0,50.5,0,Foundational / Action Required
3.0,data-scientist,0.85,1.0,7.28,0.5,0.25,0.471,0.346,2.0,1.0,71.1,2,Eligible
5.0,software-developer,0.92,1.0,7.21,0.0,0.0,0.635,0.311,3.0,1.0,69.9,2,Eligible
3.0,data-scientist,0.85,1.0,7.36,4.0,2.0,1.0,0.812,5.0,2.0,99.0,3,Highly Eligible
1.0,data-analyst,0.85,1.0,8.37,0.0,0.0,0.362,0.256,2.0,2.0,64.7,1,Partially Eligible
2.0,machine-learning-engineer,0.45,1.0,6.76,0.0,0.0,0.165,0.154,0.0,0.0,35.8,0,Foundational / Action Required
1.0,data-analyst,0.85,0.75,8.26,0.0,0.0,0.537,0.156,2.0,0.0,65.4,1,Partially Eligible
1.0,data-analyst,0.92,1.0,9.04,4.0,3.0,0.817,0.769,4.0,3.0,99.0,3,Highly Eligible
5.0,software-developer,0.85,0.75,8.11,4.0,2.0,1.0,0.704,4.0,2.0,99.0,3,Highly Eligible
4.0,web-developer,0.45,0.35,7.08,0.0,0.0,0.206,0.087,2.0,0.0,36.7,0,Foundational / Action Required
4.0,web-developer,0.65,0.65,8.33,1.5,1.5,0.652,0.15,3.0,0.0,79.3,2,Eligible
2.0,machine-learning-engineer,0.65,0.75,6.99,1.0,0.5,0.074,0.128,0.0,1.0,40.8,0,Foundational / Action Required
5.0,software-developer,0.65,0.75,6.62,0.0,0.0,0.244,0.196,0.0,0.0,42.2,0,Foundational / Action Required
4.0,web-developer,1.0,1.0,8.46,5.0,3.0,0.973,0.996,3.0,3.0,99.0,3,Highly Eligible
3.0,data-scientist,0.92,1.0,8.97,6.0,3.0,0.946,0.841,5.0,4.0,99.0,3,Highly Eligible
4.0,web-developer,0.85,1.0,8.42,0.5,0.5,0.655,0.543,1.0,1.0,74.1,2,Eligible
3.0,data-scientist,0.65,0.35,7.78,0.0,0.0,0.098,0.0,0.0,0.0,36.4,0,Foundational / Action Required
2.0,machine-learning-engineer,0.65,0.65,5.95,0.0,0.0,0.45,0.106,0.0,0.0,52.3,1,Partially Eligible
1.0,data-analyst,0.85,1.0,8.72,0.0,0.0,0.8,0.452,2.0,2.0,84.2,3,Highly Eligible
1.0,data-analyst,0.45,0.35,7.11,0.0,0.0,0.234,0.081,0.0,0.0,38.8,0,Foundational / Action Required
4.0,web-developer,0.85,1.0,8.13,0.0,0.0,0.759,0.577,1.0,1.0,77.8,2,Eligible
3.0,data-scientist,0.45,0.65,6.58,0.0,0.0,0.04,0.116,0.0,1.0,32.6,0,Foundational / Action Required
0.0,python-developer,0.85,1.0,7.7,2.5,1.25,0.536,0.617,3.0,0.0,73.9,2,Eligible
0.0,python-developer,0.85,1.0,7.13,0.5,0.25,0.446,0.47,2.0,1.0,63.2,1,Partially Eligible
0.0,python-developer,0.65,0.65,5.55,0.0,0.0,0.237,0.065,0.0,0.0,41.2,0,Foundational / Action Required
1.0,data-analyst,0.85,1.0,7.15,1.5,1.5,0.4,0.457,1.0,1.0,66.6,1,Partially Eligible
5.0,software-developer,0.85,1.0,8.4,0.0,0.0,0.794,0.185,2.0,0.0,74.4,2,Eligible
1.0,data-analyst,0.65,1.0,7.79,2.0,2.0,0.4,0.483,2.0,1.0,70.1,2,Eligible
5.0,software-developer,0.92,1.0,8.94,1.5,0.75,0.663,0.417,4.0,0.0,78.3,2,Eligible
3.0,data-scientist,0.85,1.0,7.51,2.0,1.0,0.464,0.637,3.0,3.0,74.7,2,Eligible
4.0,web-developer,0.85,0.75,8.85,0.0,0.0,0.571,0.238,2.0,0.0,65.1,1,Partially Eligible
0.0,python-developer,0.92,1.0,7.83,2.0,1.0,0.64,0.663,3.0,2.0,85.7,3,Highly Eligible
3.0,data-scientist,0.85,1.0,8.0,1.0,0.5,0.676,0.292,3.0,0.0,76.4,2,Eligible
3.0,data-scientist,0.85,1.0,8.46,4.0,2.0,0.839,0.574,3.0,1.0,89.0,3,Highly Eligible
4.0,web-developer,0.85,1.0,8.47,1.0,1.0,0.671,0.75,3.0,0.0,77.7,2,Eligible
3.0,data-scientist,0.85,0.65,7.11,1.0,0.5,0.572,0.491,2.0,1.0,69.0,2,Eligible
4.0,web-developer,0.85,0.65,6.63,2.0,2.0,0.69,0.226,1.0,2.0,79.9,2,Eligible
2.0,machine-learning-engineer,0.65,1.0,7.72,2.5,1.25,0.549,0.299,1.0,1.0,68.5,2,Eligible
4.0,web-developer,0.65,0.35,6.63,0.5,0.5,0.2,0.0,1.0,0.0,46.3,0,Foundational / Action Required
0.0,python-developer,0.85,1.0,7.04,0.0,0.0,0.516,0.531,2.0,1.0,65.2,1,Partially Eligible
5.0,software-developer,0.65,0.65,6.06,0.0,0.0,0.247,0.001,0.0,0.0,40.9,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,8.03,4.0,2.0,0.694,0.35,3.0,2.0,84.9,3,Highly Eligible
0.0,python-developer,0.92,1.0,7.9,4.0,2.0,0.925,0.41,4.0,1.0,94.6,3,Highly Eligible
5.0,software-developer,0.92,1.0,9.71,6.0,3.0,1.0,0.956,3.0,3.0,99.0,3,Highly Eligible
4.0,web-developer,0.85,0.65,6.32,0.0,0.0,0.211,0.063,0.0,0.0,44.1,0,Foundational / Action Required
2.0,machine-learning-engineer,1.0,1.0,8.33,4.0,2.0,0.842,0.882,3.0,2.0,97.5,3,Highly Eligible
5.0,software-developer,0.65,0.75,7.3,0.0,0.0,0.109,0.0,0.0,0.0,35.4,0,Foundational / Action Required
2.0,machine-learning-engineer,0.92,1.0,7.91,5.0,2.5,0.911,0.868,4.0,3.0,99.0,3,Highly Eligible
0.0,python-developer,0.85,0.75,6.76,1.5,0.75,0.4,0.504,2.0,0.0,60.0,1,Partially Eligible
2.0,machine-learning-engineer,0.85,0.65,7.19,0.5,0.25,0.13,0.184,0.0,0.0,40.6,0,Foundational / Action Required
3.0,data-scientist,0.92,1.0,8.41,5.0,2.5,0.644,0.636,4.0,3.0,90.0,3,Highly Eligible
1.0,data-analyst,0.85,1.0,8.22,0.0,0.0,0.8,0.1,2.0,1.0,79.4,2,Eligible
3.0,data-scientist,0.92,1.0,8.22,2.0,1.0,0.653,0.774,5.0,1.0,82.6,3,Highly Eligible
0.0,python-developer,0.92,0.75,9.17,0.0,0.0,0.609,0.273,2.0,1.0,68.1,2,Eligible
5.0,software-developer,0.85,0.35,5.87,1.0,0.5,0.278,0.0,0.0,0.0,46.3,0,Foundational / Action Required
5.0,software-developer,1.0,1.0,9.34,5.0,2.5,0.752,0.395,3.0,3.0,98.4,3,Highly Eligible
2.0,machine-learning-engineer,0.65,0.35,6.06,0.0,0.0,0.45,0.113,0.0,0.0,47.9,0,Foundational / Action Required
4.0,web-developer,0.85,1.0,8.22,1.5,1.5,0.517,0.601,3.0,2.0,77.1,2,Eligible
1.0,data-analyst,0.85,0.65,7.03,1.0,1.0,0.4,0.486,3.0,3.0,68.5,2,Eligible
4.0,web-developer,1.0,1.0,9.93,5.0,3.0,0.834,0.773,5.0,3.0,99.0,3,Highly Eligible
0.0,python-developer,0.85,0.75,6.47,1.0,0.5,0.424,0.425,2.0,3.0,63.5,1,Partially Eligible
5.0,software-developer,0.85,1.0,7.74,0.5,0.25,0.61,0.175,1.0,0.0,60.5,1,Partially Eligible
2.0,machine-learning-engineer,0.85,1.0,8.84,2.0,1.0,0.893,0.5,4.0,3.0,99.0,3,Highly Eligible
5.0,software-developer,0.92,1.0,8.95,4.0,2.0,0.904,0.843,4.0,2.0,98.2,3,Highly Eligible
4.0,web-developer,0.85,1.0,8.29,2.0,2.0,0.71,0.665,3.0,2.0,84.1,3,Highly Eligible
4.0,web-developer,0.85,1.0,8.34,5.0,3.0,0.862,0.634,3.0,3.0,95.0,3,Highly Eligible
1.0,data-analyst,0.92,1.0,8.44,5.0,3.0,0.965,0.856,5.0,3.0,99.0,3,Highly Eligible
1.0,data-analyst,0.45,0.35,7.01,0.0,0.0,0.146,0.0,1.0,0.0,35.3,0,Foundational / Action Required
2.0,machine-learning-engineer,0.85,0.65,6.43,0.0,0.0,0.101,0.144,0.0,0.0,42.1,0,Foundational / Action Required
1.0,data-analyst,0.85,0.65,8.72,1.5,1.5,0.609,0.284,1.0,1.0,72.5,2,Eligible
4.0,web-developer,0.85,0.75,8.08,3.0,3.0,0.861,0.782,3.0,2.0,90.4,3,Highly Eligible
4.0,web-developer,0.65,0.75,7.55,1.0,1.0,0.132,0.111,0.0,0.0,40.0,0,Foundational / Action Required
0.0,python-developer,0.85,1.0,8.21,1.5,0.75,0.571,0.487,3.0,1.0,73.4,2,Eligible
4.0,web-developer,0.92,1.0,7.97,5.0,3.0,0.738,0.507,3.0,3.0,93.3,3,Highly Eligible
2.0,machine-learning-engineer,0.85,0.75,6.92,0.0,0.0,0.201,0.0,1.0,0.0,46.4,0,Foundational / Action Required
3.0,data-scientist,0.45,0.65,7.93,0.5,0.25,0.227,0.119,0.0,1.0,41.6,0,Foundational / Action Required
0.0,python-developer,0.85,1.0,8.12,4.0,2.0,0.6,0.35,3.0,3.0,83.6,3,Highly Eligible
0.0,python-developer,0.85,1.0,7.6,0.0,0.0,0.488,0.592,2.0,1.0,64.6,1,Partially Eligible
2.0,machine-learning-engineer,0.92,1.0,8.03,0.0,0.0,0.57,0.173,2.0,0.0,70.6,2,Eligible
2.0,machine-learning-engineer,0.85,0.35,6.09,0.0,0.0,0.293,0.113,0.0,0.0,51.8,0,Foundational / Action Required
1.0,data-analyst,0.65,0.65,7.08,0.0,0.0,0.28,0.141,1.0,0.0,44.3,0,Foundational / Action Required
0.0,python-developer,0.65,0.65,6.61,0.0,0.0,0.332,0.046,1.0,1.0,49.4,0,Foundational / Action Required
1.0,data-analyst,0.92,0.75,8.14,0.5,0.5,0.598,0.21,3.0,0.0,73.5,2,Eligible
4.0,web-developer,0.85,1.0,7.75,2.0,2.0,0.811,0.647,3.0,2.0,90.0,3,Highly Eligible
0.0,python-developer,0.85,1.0,8.3,0.0,0.0,0.685,0.334,2.0,0.0,71.0,2,Eligible
0.0,python-developer,0.92,1.0,7.01,2.0,1.0,0.605,0.233,1.0,3.0,82.2,3,Highly Eligible
5.0,software-developer,0.85,1.0,8.12,1.5,0.75,0.85,0.282,3.0,1.0,82.7,3,Highly Eligible
3.0,data-scientist,0.85,1.0,9.03,4.0,2.0,1.0,0.661,2.0,2.0,94.5,3,Highly Eligible
0.0,python-developer,0.85,1.0,8.78,1.5,0.75,0.692,0.288,2.0,1.0,80.2,2,Eligible
4.0,web-developer,0.65,0.65,7.42,1.0,1.0,0.4,0.15,2.0,1.0,62.7,1,Partially Eligible
1.0,data-analyst,0.45,0.35,7.37,0.0,0.0,0.131,0.0,2.0,0.0,36.6,0,Foundational / Action Required
1.0,data-analyst,0.65,0.35,6.58,0.5,0.5,0.0,0.29,2.0,0.0,38.8,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,8.58,0.5,0.25,0.523,0.113,3.0,2.0,76.0,2,Eligible
3.0,data-scientist,0.85,1.0,8.39,4.0,2.0,0.726,0.61,3.0,2.0,85.5,3,Highly Eligible
4.0,web-developer,0.65,0.75,6.91,0.0,0.0,0.18,0.0,0.0,0.0,42.5,0,Foundational / Action Required
1.0,data-analyst,0.92,1.0,7.91,1.0,1.0,0.695,0.194,1.0,1.0,80.6,2,Eligible
2.0,machine-learning-engineer,0.85,1.0,6.63,0.5,0.25,0.66,0.495,2.0,1.0,74.2,2,Eligible
4.0,web-developer,0.85,0.75,7.39,2.0,2.0,0.815,0.452,4.0,1.0,87.1,3,Highly Eligible
4.0,web-developer,0.85,1.0,9.11,0.0,0.0,0.667,0.186,2.0,0.0,70.4,2,Eligible
3.0,data-scientist,0.85,0.75,8.33,4.0,2.0,0.781,0.566,3.0,2.0,86.9,3,Highly Eligible
1.0,data-analyst,0.85,0.75,9.11,1.0,1.0,0.531,0.315,2.0,3.0,78.0,2,Eligible
4.0,web-developer,0.85,0.75,7.23,0.0,0.0,0.496,0.311,1.0,2.0,68.2,2,Eligible
5.0,software-developer,0.85,0.35,6.69,0.5,0.25,0.308,0.089,0.0,0.0,50.8,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,8.86,2.0,1.0,0.638,0.15,2.0,0.0,74.6,2,Eligible
1.0,data-analyst,0.65,0.35,6.55,0.0,0.0,0.259,0.0,0.0,0.0,42.6,0,Foundational / Action Required
5.0,software-developer,0.85,1.0,7.83,1.5,0.75,0.735,0.179,2.0,0.0,78.8,2,Eligible
2.0,machine-learning-engineer,0.85,0.75,7.81,2.0,1.0,0.85,0.455,1.0,2.0,84.9,3,Highly Eligible
3.0,data-scientist,0.92,1.0,7.91,1.0,0.5,0.374,0.519,2.0,0.0,62.1,1,Partially Eligible
5.0,software-developer,0.85,1.0,8.17,0.0,0.0,0.35,0.508,3.0,1.0,62.1,1,Partially Eligible
5.0,software-developer,0.92,1.0,9.0,5.0,2.5,0.775,0.739,4.0,4.0,90.0,3,Highly Eligible
2.0,machine-learning-engineer,0.65,0.65,7.26,0.0,0.0,0.332,0.003,1.0,0.0,43.8,0,Foundational / Action Required
3.0,data-scientist,0.92,0.75,7.63,0.0,0.0,0.678,0.459,2.0,0.0,70.6,2,Eligible
